############################################################
Species: N2
############################################################
# ---------------------------------------
Band: First_Positive
# ---------------------------------------
Upper Electronic State: 3
Lower Electronic State: 2
#  vl    vu      q
  0     0   3.9840e-01 
   0     1   3.3110e-01 
   0     2   1.6740e-01 
   0     3   6.7420e-02 
   0     4   2.4010e-02 
   0     5   7.9840e-03 
   0     6   2.5610e-03 
   1     0   3.9960e-01 
   1     1   2.5340e-03 
   1     2   1.5830e-01 
   1     3   1.9690e-01 
   1     4   1.3070e-01 
   1     5   6.5620e-02 
   1     6   2.8350e-02 
   1     7   1.1240e-02 
   2     0   1.6280e-01 
   2     1   2.7270e-01 
   2     2   6.9750e-02 
   2     3   2.1670e-02 
   2     4   1.2460e-01 
   2     5   1.4310e-01 
   2     6   1.0100e-01 
   2     7   5.6120e-02 
   2     8   2.7190e-02 
   2     9   1.2160e-02 
   3     0   3.4720e-02 
   3     1   2.7770e-01 
   3     2   9.4200e-02 
   3     3   1.5180e-01 
   3     4   5.2700e-03 
   3     5   4.2210e-02 
   3     6   1.0780e-01 
   3     7   1.1140e-01 
   3     8   8.0000e-02 
   3     9   4.7250e-02 
   3    10   2.4850e-02 
   4     0   4.1590e-03 
   4     1   9.7990e-02 
   4     2   2.9680e-01 
   4     3   7.2720e-03 
   4     4   1.5070e-01 
   4     5   5.1360e-02 
   4     6   2.1630e-03 
   4     7   5.4680e-02 
   4     8   9.3620e-02 
   4     9   8.9500e-02 
   4    10   6.4920e-02 
   4    11   4.0210e-02 
   4    12   2.2600e-02 
   5     0   2.7990e-04 
   5     1   1.6540e-02 
   5     2   1.6970e-01 
   5     3   2.4230e-01 
   5     4   1.0550e-02 
   5     5   9.5090e-02 
   5     6   9.4820e-02 
   5     7   8.8850e-03 
   5     8   1.3760e-02 
   5     9   5.8940e-02 
   5    10   8.0690e-02 
   5    11   7.3480e-02 
   5    12   5.3990e-02 
   5    13   3.4880e-02 
   6     0   1.0090e-05 
   6     1   1.4410e-03 
   6     2   3.9230e-02 
   6     3   2.3020e-01 
   6     4   1.5590e-01 
   6     5   5.7990e-02 
   6     6   3.5310e-02 
   6     7   1.0440e-01 
   6     8   3.9760e-02 
   6    10   2.4310e-02 
   6    11   5.7740e-02 
   6    12   6.9330e-02 
   6    13   6.1530e-02 
   6    14   4.6010e-02 
   6    15   3.0920e-02 
   7     1   6.3790e-05 
   7     2   4.3230e-03 
   7     3   7.1910e-02 
