############################################################
Species: N2
############################################################
Band: First_Positive
Upper Electronic State: 3
Lower Electronic State: 2
#  vl    vu    A (1/s)
   0     0   4.2580e+04 
   0     1   2.3020e+04 
   0     2   6.8890e+03 
   0     3   1.4460e+03 
   0     4   2.2140e+02 
   0     5   2.2560e+01 
   0     6   1.0080e+00 
   1     0   6.5130e+04 
   1     1   2.4900e+02 
   1     2   1.2010e+04 
   1     3   9.2190e+03 
   1     4   3.3630e+03 
   1     5   7.8930e+02 
   1     6   1.2220e+02 
   1     7   1.0110e+01 
   2     0   3.6760e+04 
   2     1   4.6230e+04 
   2     2   8.8700e+03 
   2     3   1.7360e+03 
   2     4   6.5620e+03 
   2     5   4.3570e+03 
   2     6   1.5470e+03 
   2     7   3.4900e+02 
   2     8   4.6520e+01 
   2     9   2.1110e+00 
   3     0   9.9750e+03 
   3     1   6.4460e+04 
   3     2   1.6380e+04 
   3     3   2.0270e+04 
   3     4   5.4200e+02 
   3     5   2.4550e+03 
   3     6   3.8310e+03 
   3     7   2.1240e+03 
   3     8   6.8760e+02 
   3     9   1.3680e+02 
   3    10   1.3040e+01 
   4     0   1.3950e+03 
   4     1   2.8600e+04 
   4     2   7.0600e+04 
   4     3   1.1730e+03 
   4     4   2.1170e+04 
   4     5   5.3120e+03 
   4     6   1.2220e+02 
   4     7   2.2320e+03 
   4     8   2.1820e+03 
   4     9   1.0270e+03 
   4    10   2.9310e+02 
   4    11   4.7060e+01 
   4    12   2.2310e+00 
   5     0   9.9460e+01 
   5     1   5.5730e+03 
   5     2   5.0230e+04 
   5     3   5.8790e+04 
   5     4   2.3480e+03 
   5     5   1.3970e+04 
   5     6   1.0460e+04 
   5     7   7.2070e+02 
   5     8   6.2430e+02 
   5     9   1.6470e+03 
   5    10   1.2000e+03 
   5    11   4.8710e+02 
   5    12   1.1870e+02 
   5    13   1.3490e+01 
   6     0   3.3230e+00 
   6     1   5.0780e+02 
   6     2   1.3260e+04 
   6     3   6.8890e+04 
   6     4   3.8300e+04 
   6     5   1.2460e+04 
   6     6   5.3120e+03 
   6     7   1.2290e+04 
   6     8   3.4030e+03 
   6    10   7.9600e+02 
   6    11   1.0860e+03 
   6    12   6.4390e+02 
   6    13   2.2700e+02 
   6    14   4.5250e+01 
   6    15   2.8770e+00 
   7     1   2.0380e+01 
   7     2   1.5080e+03 
   7     3   2.4320e+04 
   7     4   8.0260e+04 
   7     5   1.8200e+04 
   7     6   2.3090e+04 
   7     7   4.0070e+02 
   7     8   1.0170e+04 
   7     9   6.3170e+03 
   7    10   7.4720e+02 
   7    11   1.2240e+02 
   7    12   7.0290e+02 
   7    13   6.7360e+02 
   7    14   3.4210e+02 
   7    15   1.0500e+02 
   7    16   1.6250e+01 
   8     2   7.1390e+01 
   8     3   3.4010e+03 
   8     4   3.7850e+04 
   8     5   8.2390e+04 
   8     6   4.6120e+03 
   8     7   2.8640e+04 
   8     8   1.0290e+03 
   8     9   5.7940e+03 
   8    10   7.7790e+03 
   8    11   2.4810e+03 
   8    12   7.4850e+01 
   8    13   2.4500e+02 
   8    14   5.3090e+02 
   8    15   4.0860e+02 
   8    16   1.8390e+02 
   8    17   4.9440e+01 
   8    18   5.6420e+00 
   9     3   1.8780e+02 
   9     4   6.4470e+03 
   9     5   5.2390e+04 
   9     6   7.5630e+04 
   9     7   1.5090e+00 
   9     8   2.7350e+04 
   9     9   5.9350e+03 
   9    10   1.7230e+03 
   9    11   7.0800e+03 
   9    12   4.3020e+03 
   9    13   8.0040e+02 
   9    14   2.0680e+00 
   9    15   2.6820e+02 
   9    16   3.7530e+02 
   9    17   2.5040e+02 
   9    18   1.0320e+02 
   9    19   2.4830e+01 
   9    20   2.0880e+00 
  10     3   2.8980e+00 
  10     4   4.1130e+02 
  10     5   1.0820e+04 
  10     6   6.6200e+04 
  10     7   6.2080e+04 
  10     8   3.5960e+03 
  10     9   2.0660e+04 
  10    10   1.2190e+04 
  10    11   5.1240e+00 
  10    12   4.6930e+03 
  10    13   5.2730e+03 
  10    14   2.0380e+03 
  10    15   2.0870e+02 
  10    16   3.9840e+01 
  10    17   2.3780e+02 
  10    18   2.6170e+02 
  10    19   1.6010e+02 
  10    20   6.2860e+01 
  10    21   1.4360e+01 
  11     4   6.9460e+00 
  11     5   7.9180e+02 
  11     6   1.6540e+04 
  11     7   7.7600e+04 
  11     8   4.4910e+04 
  11     9   1.2470e+04 
  11    10   1.1760e+04 
  11    11   1.6800e+04 
  11    12   1.3350e+03 
  11    13   1.9130e+03 
  11    14   4.8940e+03 
  11    15   3.2240e+03 
  11    16   8.9400e+02 
  11    17   3.8130e+01 
  11    18   6.8650e+01 
  11    19   1.9400e+02 
  11    20   1.8670e+02 
  11    21   1.1020e+02 
  12     5   1.4470e+01 
  12     6   1.3820e+03 
  12     7   2.3510e+04 
  12     8   8.5150e+04 
  12     9   2.7560e+04 
  12    10   2.2830e+04 
  12    11   4.1260e+03 
  12    12   1.7860e+04 
  12    13   4.9510e+03 
  12    14   1.7390e+02 
  12    15   3.3550e+03 
  12    16   3.7690e+03 
  12    17   1.8230e+03 
  12    18   3.8290e+02 
  12    19   2.4140e+00 
  12    20   7.6260e+01 
  12    21   1.5410e+02 
  13     6   2.7060e+01 
  13     7   2.2330e+03 
  13     8   3.1420e+04 
  13     9   8.7910e+04 
  13    10   1.3080e+04 
  13    11   3.1150e+04 
  13    12   2.5120e+02 
  13    13   1.5170e+04 
  13    14   9.1280e+03 
  13    15   3.7160e+02 
  13    16   1.4410e+03 
  13    17   3.3670e+03 
  13    18   2.5780e+03 
  13    19   1.0230e+03 
  13    20   1.7000e+02 
  14     7   4.6380e+01 
  14     8   3.3850e+03 
  14     9   3.9860e+04 
  14    10   8.5560e+04 
  14    11   3.6020e+03 
  14    12   3.5030e+04 
  14    13   1.0280e+03 
  14    14   1.0010e+04 
  14    15   1.2000e+04 
  14    16   2.4720e+03 
  14    17   1.5620e+02 
  14    18   2.1840e+03 
  14    19   2.7650e+03 
  14    20   1.7150e+03 
  14    21   6.0560e+02 
  15     8   7.3960e+01 
  15     9   4.8620e+03 
  15    10   4.8280e+04 
  15    11   7.8430e+04 
  15    12   3.4750e+01 
  15    13   3.3660e+04 
  15    14   5.6720e+03 
  15    15   4.5230e+03 
  15    16   1.2370e+04 
  15    17   5.5530e+03 
  15    18   2.3590e+02 
  15    19   8.1870e+02 
  15    20   2.2350e+03 
