############################################################
Species: N2
############################################################
# number of spectral data
9
# n  state     Te        re      g  dzero     we        wexe     weye       weze       be       alphae     de         betae      spn-orb    lambda spin   ivs 
  1  X1SIGg+   0.00      1.0977  1  78741.1   2358.57   14.324   -2.26E-3  0.000E+00   1.9982   1.732E-2   5.76E-6    0.000E+00  0.0000E+00  0      1       0
  2  A3SIGu+   50203.6   1.2866  3  28536.8   1460.64   13.872   1.030E-2  0.000E+00   1.4546   1.800E-2   6.15E-6    0.000E+00  0.0000E+00  0      3       0
  3  B3PIg     59619.3   1.2126  6  38349.5   1733.39   14.122   -5.69E-2  0.000E+00   1.6374   1.791E-2   5.9E-6     0.000E+00  0.0000E+00  1      3       0
  4  W3DELu    59808.0   1.2     6  38160.4   1501.4    11.6     0.000E+0  0.000E+00   1.5      0.000E+0   6.E-6      0.000E+00  0.0000E+00  2      3       0
  5  Bp3SIGu-  66272.4   1.2874  3  31695.8   1516.88   12.181   4.186E-2  0.000E+00   1.4733   1.666E-2   5.56E-6    0.000E+00  0.0000E+00  0      3       0
  6  ap1SIGu-  68152.7   1.2755  1  29816.0   1530.25   12.075   4.129E-2  0.000E+00   1.4799   1.657E-2   5.55E-6    0.000E+00  0.0000E+00  0      1       0
  7  a1PIg     69283.1   1.2203  2  28686.0   1694.20   13.949   7.935E-3  0.000E+00   1.6169   1.793E-2   5.89E-6    0.000E+00  0.0000E+00  1      1       0
  8  w1DELu    72097.4   1.268   2  25872.0   1559.26   11.63    0.000E+0  0.000E+00   1.498    1.660E-2   0.00E+0    0.000E+00  0.0000E+00  2      1       0
  9  C3PIu     89136.9   1.1486  6  8960.0    2047.18   28.445   0.000E+0  0.000E+00   1.8247   0.018680   0.00E+0    0.000E+00  0.0000E+00  1      3       0
END N2
############################################################
Species: N2+
############################################################
# number of spectral data
4
# n  state     Te        re      g  dzero     we        wexe     weye       weze       be       alphae     de         betae      spn-orb    lambda spin   ivs 
  1  X2SIGg+   0.00      1.1164  2  70301.1   2207.00   16.10    -4.00E-2   0.000E+00  1.9318   1.881E-2   6.10E-6    0.000E+00  0.0000E+00  0      2       0
  2  A2PIui    9167.0    1.1749  4  61133.3   1903.70   15.02    0.000E+0   0.000E+00  1.7444   1.883E-2   5.6E-6     0.000E+00  0.0000E+00  0      2       0
  3  B2SIGu+   25461.5   1.0742  2  44839.2   2419.84   23.19    -5.38E-1   0.000E+00  2.0746   2.4E-2     6.17E-6    0.000E+00  0.0000E+00  0      2       0
  4  D2PIgi    52318.2   1.471   4  18637.1    907.71   11.91    1.600E-2   0.000E+00  1.113    2.0E-2     5.E-6      0.000E+00  0.0000E+00  0      2       0
END N2+
